Burst,Pause,Syntactic.Context.of.the.pause,Distance.to.theme.after,Distance.to.theme.before,Thematic.element.with.pause,Thematic.element.without.pause,Non.Themetic.with.pause,Non.Thematic.without.pause,topical,evaluative,thematized.CA,marked,enhanced,textual,file_id
odd,1.72,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
L<BACKSPACE1><RIGHT1><BACKSPACE1>:)) <BACKSPACE1>.,14.039,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"On ther<BACKSPACE1> other hna<BACKSPACE2>abnd,<BACKSPACE4>nd,",12.53,end PP,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,5
meeting in real-life for the first,1.5,mid PP,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,5
time,1.677,end PP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
fo<BACKSPACE2>,1.232,end PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
could potentially lead to very seriour<BACKSPACE1>s issues.,7.675,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5
"Personally,",5.082,end AG,0,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,5
IK <BACKSPACE2>,6.242,end NP,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,5
am,1.185,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
q<BACKSPACE1>a,7.713,mid NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5
rather conservative person; i<BACKSPACE1>,1.315,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
<BACKSPACE48>,26.852,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
One o<BACKSPACE1>generally o<BACKSPACE1>wants to acoid <BACKSPACE4>v<BACKSPACE2>void such circumsttanc<BACKSPACE5>t<BACKSPACE1>tances <BACKSPACE1>.,52.476,end sentence,0,43,1,NA,1,NA,1,NA,NA,NA,NA,NA,5
"<MOUSECLICK><RIGHT1> So,",10.275,end AG,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,5
this would make it possible for you to,13.903,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
<BACKSPACE39>,8.894,end AG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
the amount information that you could pssi<BACKSPACE3>ossibly,3.791,end AG,0,23,1,NA,NA,NA,NA,NA,NA,1,NA,NA,5
gain,1.017,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
<BACKSPACE4>,5.529,end AG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
gain<BACKSPACE1>n frm <BACKSPACE2>om other peope<BACKSPACE1>le is very<BACKSPACE4>fundamamtl<BACKSPACE4>entally differen <BACKSPACE1>t nowafa<BACKSPACE2>dat<BACKSPACE1>ys. <BACKSPACE1>,13.726,end sentence,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,5
<MOUSECLICK>,1.166,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
<RIGHT2><ENTER1>,1.982,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
<MOUSECLICK>,39.725,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
<MOUSECLICK>,1.382,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
<MOUSECLICK>,6.046,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
cx<BACKSPACE2>,13.848,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"So, ih<BACKSPACE1>n",1.267,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"gee<BACKSPACE1>nerall,<BACKSPACE1> <BACKSPACE16>",9.734,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"Hiwe<BACKSPACE4><UP1>Ne<BACKSPACE2><DOWN1>Nevertheless,",2.905,end AG,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,5
you cannot,1.022,mid VP,0,6,1,NA,NA,NA,1,NA,NA,NA,NA,NA,5
deny,4.321,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
the signficance of meeting people in real-life.,1.836,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5
Ther <BACKSPACE1>e such raw quality attached to these expre<BACKSPACE2>eriences that,4.655,end AG,5,33,NA,1,NA,NA,NA,NA,NA,NA,1,NA,5
is,1.446,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
<BACKSPACE2>,1.622,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
s quite hard ot<BACKSPACE2>to replicate thorugh<BACKSPACE5>roguh<BACKSPACE3>igh <BACKSPACE4>ugh,3.341,mid PP,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,5
online communication.,13.384,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5
"In generally,<BACKSPACE3>, howeve,<BACKSPACE1>v<BACKSPACE1>r,",1.265,end AG,0,0,1,NA,NA,NA,NA,1,NA,NA,NA,1,5
I<BACKSPACE2>I still believe,3.513,end VP,0,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,5
it o<BACKSPACE1>would be preferabel<BACKSPACE2>le to,1.682,mid VP,11,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,5
<BACKSPACE1>,2.594,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"<BACKSPACE2>, for the first couple of dat",1.122,mid word,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5
"se<BACKSPACE2>es at leastr,<BACKSPACE3>t,",6.406,end AG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
to be meeting people,1.965,end NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5
onle<BACKSPACE1>ine rather that i<BACKSPACE3>n in real-life.,10.828,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
A lot of a<BACKSPACE1>dating is done online nowadays,15.759,end sentence,0,23,1,NA,1,NA,1,NA,NA,NA,NA,NA,6
",",2.911,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
th,1.008,mid word,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6
anks to the,1.775,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
development of technology,3.599,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
<BACKSPACE26> rapid development of technology.,3.584,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6
Mnay <BACKSPACE3>a<BACKSPACE2>any people,3.807,end NP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
<SPACE>,2.703,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
<BACKSPACE12>Mnay d<BACKSPACE5>any different views have,1.518,mid VP,0,5,1,NA,NA,NA,1,NA,NA,NA,NA,NA,6
developed,1.407,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"regarding this phenomenon,",4.879,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6
both in favour,1.519,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
of,1.039,mid PP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6
<BACKSPACE12>welcoming,4.494,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
this new,4.477,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
way of dating and,16.109,end NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6
shunning,1.055,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
it.,7.517,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6
I believ eth<BACKSPACE4>e,1.232,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
this is,1.504,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
gng<BACKSPACE6>,1.503,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"<BACKSPACE5>onlne<BACKSPACE2>une<BACKSPACE3>ine dating is generally a good thing, as",9.247,end NP,0,29,1,NA,NA,1,1,NA,NA,NA,NA,NA,6
many <BACKSPACE5>it is often harder for many young people to meet,3.025,end VP,11,29,NA,1,NA,1,NA,1,NA,NA,NA,NA,6
people they would be interested in dating in real-kl<BACKSPACE2>life situations anymore.,3.122,end sentence,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,6
"I can however see the ow<BACKSPACE2>downsides of thsi, <BACKSPACE4>is, as it coulmd<BACKSPACE2>d be",1.248,end VP,0,14,1,1,NA,2,1,NA,NA,NA,NA,1,6
this way because<BACKSPACE7>BECAUSE<BACKSPACE7>precisely BECAUSEof o<BACKSPACE4> of online dataing<BACKSPACE4>ing (,1.679,end clause,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,6
pepople<BACKSPACE5>ople may have,3.807,end VP,0,8,1,NA,NA,NA,1,NA,NA,NA,NA,NA,6
lessde<BACKSPACE2> developed social or communc<BACKSPACE1>ication skkil<BACKSPACE3>ills becu<BACKSPACE1>ause,1.023,end NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6
they rarely meet people in real life,1.983,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
", thrte<BACKSPACE3>erefore making the problem worse and forcing more peoplei<BACKSPACE1> into online dating).",91.76,end sentence,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,6
Another major reason,2.447,end NP,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,6
"for the growth of onine<BACKSPACE3>lind <BACKSPACE2>e dating, in my opinion, is",1.006,end VP,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,6
the con<BACKSPACE3>economic state of the world.,1.439,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6
Goods and services,1.007,end NP,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,6
re<BACKSPACE2>are constantly,2.302,end NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6
"becomingm<BACKSPACE1> more expensive,",6.127,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6
whilst,1.711,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
wages have rem<BACKSPACE1>mained relatively<BACKSPACE22>ve nto <BACKSPACE3>ot grown in,4.031,mid PP,0,17,1,NA,NA,NA,1,NA,NA,NA,NA,NA,6
"an equivalent way to these prices,",1.839,end clause,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6
thus,1.616,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"regular<BACKSPACE7>it is harder for reguar<BACKSPACE2>lar people to afford to go out as often, subsequenyly<BACKSPACE3>tly meaning",17.616,end NP,6,7,NA,1,NA,3,NA,1,NA,NA,NA,NA,6
"they meet feewe<BACKSPACE3>wer people in real life, again making online dating one of the only options.",15.854,end sentence,0,83,1,NA,1,1,1,NA,NA,NA,NA,NA,6
It is difficult to say whether,11.136,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
<BACKSPACE30>Another factor to considerif<BACKSPACE2> si<BACKSPACE2>is that online dating is often,1.119,end NP,0,42,1,NA,NA,1,1,NA,NA,NA,NA,NA,6
<BACKSPACE1>,1.455,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
<BACKSPACE8>before meeting someone in eprs<BACKSPACE4>persno<BACKSPACE2>on,1.903,end clause,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
id<BACKSPACE1>s better o<BACKSPACE1>for peo<BACKSPACE1>rsonal safety,1.375,end sentence,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,6
", e<BACKSPACE1>which women are especially at",2.926,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
<BACKSPACE23>,9.431,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
<MOUSECLICK>h<BACKSPACE1>generally,2.134,end NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6
<MOUSECLICK><HIGHLIGHT 1209:1208><MOUSECLICK><MOUSECLICK><BACKSPACE6>,2.975,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
<BACKSPACE2>;,1.984,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
<BACKSPACE2>,3.166,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
. Women especially may not feel comfortbale<BACKSPACE4>able meeting someone,1.215,end sentence,1,51,NA,1,1,1,1,NA,NA,NA,NA,NA,6
"in person soon after talkung<BACKSPACE3>ing, as",4.127,end NP,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,6
the way someone comes across online can be vastly<BACKSPACE35>e [prt<BACKSPACE4>port<BACKSPACE2>tr<BACKSPACE2>rtrays themsevl,1.055,mid word,NA,NA,1,NA,1,2,NA,NA,1,NA,NA,NA,6
<BACKSPACE2>lf online canb<BACKSPACE1> be wildly differnet to<BACKSPACE6>ent to how,1.646,mid NP,2,30,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,6
they,2.001,end NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6
<SPACE>,3.535,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
acu<BACKSPACE1>tually are.,1.6,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
<BACKSPACE1>,2.576,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
(e.g. they may acc<BACKSPACE1>t as<BACKSPACE1> certain way,1.567,end sentence,5,21,NA,1,1,NA,1,NA,NA,NA,NA,NA,6
to get what they want out of someone).,3.009,end sentence,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,6
Thereofre <BACKSPACE5>fore there is a strong argument to m<BACKSPACE1>be made for dating some <BACKSPACE1>one,1.63,end sentence,18,29,1,1,NA,NA,NA,NA,NA,NA,1,1,6
<BACKSPACE20> for gon<BACKSPACE1>ing on online dates with someone to get to tknow them<BACKSPACE10>know them bef<BACKSPACE1>tter,1.695,end sentence,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,6
for the personal safety of both parties.,10.079,end sentence,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,6
<ENTER1>,9.126,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
<MOUSECLICK><ENTER1>,6.974,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
<MOUSECLICK>,1.057,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
<RIGHT5><BACKSPACE6> further,1.726,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
<MOUSECLICK>,2.968,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
<MOUSECLICK>,1.527,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
<ENTER1>,1.206,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
<MOUSECLICK>,19.544,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"O<BACKSPACE1>In oc<BACKSPACE2>contrast,",5.071,end NP,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,6
it can be said hat<BACKSPACE3>that the connection you may have so<BACKSPACE2>with someone onine<BACKSPACE3>luie<BACKSPACE3>ine may not be,1.199,end VP,19,43,NA,2,NA,2,NA,1,NA,1,NA,NA,6
the sme<BACKSPACE2>ame as the one you have in person,1.519,end sentence,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,6
;,3.343,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
<BACKSPACE1>,3.343,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
", considering hiow <BACKSPACE4>ow different the typoe<BACKSPACE4>wo o<BACKSPACE1>forms of communication can be.",10.895,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
This,1.103,end NP,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,6
co,1.199,mid word,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
<BACKSPACE2>,2.656,end NP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"difficulty can be con<BACKSPACE1>mab<BACKSPACE2>batted somewhat through<BACKSPACE1>h video calls or similar, as<BACKSPACE2>whuich ar<BACKSPACE7>ich are more similar to real-<BACKSPACE1> life conversations in tersm fo<BACKSPACE5>ms of flow",2.095,mid PP,0,124,NA,NA,1,3,1,NA,NA,NA,NA,NA,6
<BACKSPACE4>conversation flow,3.199,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
and connection,50.014,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
".<ENTER1> In reality,",1.038,end PP,0,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,6
thea<BACKSPACE1> answre<BACKSPACE3>wer to this question depends entirely <BACKSPACE9>on a number of ac<BACKSPACE2>factors,2.143,end sentence,0,47,1,NA,1,1,1,NA,NA,NA,NA,NA,6
", incluind<BACKSPACE3>ding the",4.143,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
personal,1.453,mid NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6
"ity types of the people involved (whether they re<BACKSPACE2>are intor<BACKSPACE5>more introverted or more outgi<BACKSPACE1>oing <BACKSPACE1>,",3.679,end sentence,41,38,NA,NA,1,2,1,NA,NA,NA,NA,NA,6
<BACKSPACE2>,1.136,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
")<BACKSPACE1> for example),",2.143,end PP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6
their past experiences,1.167,end NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6
", good or bad, of other relation<BACKSPACE17>both in other relationships or",1.247,end NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6
in their own persoan<BACKSPACE2>nal lives,39.424,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6
", their economic situatiosn<BACKSPACE2>ns,",52.862,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
<MOUSECLICK><HIGHLIGHT 2230:2225><MOUSECLICK><REPLACED>previous,2.198,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
<MOUSECLICK>,18.423,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
or their,12.591,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
<BACKSPACE5>how they feel about,1.759,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
<BACKSPACE19>weh<BACKSPACE2>hether they both feel comfortable and safe enough to,2.623,mid NP,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,6
meet each other in poer<BACKSPACE3>erson,1.407,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6
after,3.791,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
<BACKSPACE5>before any,1.599,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
<SPACE>,1.359,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
dat,1.743,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
<BACKSPACE3>online dayte<BACKSPACE3>tes.,30.654,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6
<ENTER1>,1.297,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
<SPACE>,5.377,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
It is entirely up the <BACKSPACE4>to the people involved,2.208,end sentence,5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,6
whether,17.695,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
<BACKSPACE7>in wht<BACKSPACE1>at way there<BACKSPACE2>y,7.697,end NP,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,6
want o<BACKSPACE1>to begint<BACKSPACE1> their dating experience,3.216,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6
", and",1.423,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
it is easy to see,7.31,end VP,5,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,6
why many people would choose to,8.159,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"date online before being comfortable neou<BACKSPACE4>enouhg<BACKSPACE2>gh to meet someone in er<BACKSPACE2>person. Pero<BACKSPACE1>sonall,<BACKSPACE1>y, however,",2.095,end NP,70,0,1,1,NA,3,NA,1,NA,NA,NA,1,6
I believe they<BACKSPACE4>,1.552,end VP,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,6
there,1.823,end NP,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,6
<BACKSPACE2>,1.12,mid NP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"human connection you c<BACKSPACE1>get from meet<BACKSPACE4>dating<BACKSPACE6>goo<BACKSPACE1>ing on a physical date with someone is entirely differen t<BACKSPACE2>t too<BACKSPACE1> online datingm<BACKSPACE1>, an <BACKSPACE1>d it is very imf<BACKSPACE1>portant to<BACKSPACE2>to build that connection",19.759,end sentence,0,24,NA,NA,1,4,NA,1,NA,NA,NA,NA,6
"in the early stageso<BACKSPACE1> of a relationship, <BACKSPACE2>;",1.359,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6
if,1.519,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
you talkt<BACKSPACE1> to someone online for months,1.071,end clause,0,33,1,NA,1,2,1,NA,NA,NA,NA,NA,6
and,1.711,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
thenf in<BACKSPACE4> finall m<BACKSPACE2>y meet them in person,1.296,end clause,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,6
"and theres<BACKSPACE1>'s no eo<BACKSPACE2>connctio<BACKSPACE3>ec<BACKSPACE3>ection,",2.671,end clause,11,0,NA,NA,1,NA,NA,NA,NA,NA,NA,1,6
you may feel that,1.023,end NP,0,13,1,NA,NA,NA,1,NA,NA,NA,NA,NA,6
you have wased<BACKSPACE3>ted<BACKSPACE3>sted,1.024,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
<SPACE>,2.207,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
those motn<BACKSPACE2>nths of talking when you could have been talking to someone with whom you,3.871,end NP,28,48,NA,2,2,NA,2,NA,NA,NA,NA,NA,6
h,1.601,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
ave<BACKSPACE4>may have as<BACKSPACE1> stronger,1.361,mid NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6
<SPACE>,1.471,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
p<BACKSPACE1>,1.343,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
perso<BACKSPACE5>eo<BACKSPACE2>in-person connection.,4.818,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
This could lead to re<BACKSPACE2>w<BACKSPACE1>awak<BACKSPACE2>kwardness and resene<BACKSPACE1>tl<BACKSPACE1>ment if <BACKSPACE2>f you continue to pursure<BACKSPACE2>e a relationship with,4.095,mid PP,18,38,1,1,1,NA,2,NA,NA,NA,NA,NA,6
"the person wih<BACKSPACE1>th w<BACKSPACE47>to pursure the <BACKSPACE7>e the relationship, which is not a good fun<BACKSPACE2>oundation.",11.713,end sentence,36,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6
My opinion therefore is that in-person dates,6.895,end PP,0,33,1,1,NA,NA,1,NA,NA,NA,NA,1,6
are,10.079,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
<BACKSPACE3>are better for building he<BACKSPACE2>the foundations of a strong relationsi<BACKSPACE1>hip with someone (thoyugh<BACKSPACE4>ugh of course,5.263,end sentence,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,6
it is impor<BACKSPACE1>rtat<BACKSPACE1>nt to first talk to someone online,5.072,end sentence,5,31,NA,1,1,1,NA,1,NA,NA,NA,NA,6
<SPACE>,1.247,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
to build a baseline,10.43,end clause,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6
of trust,6.623,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
and safety,6.798,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
before,10.623,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
<SPACE>,2.448,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
this).,13.767,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6
<MOUSECLICK><BACKSPACE5>The majority,2.912,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
<RIGHT1><LEFT1>,2.702,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
Dating can be a difficult,1.422,mid NP,0,18,1,NA,NA,NA,1,NA,NA,NA,NA,NA,7
experince,5.135,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,7
' <BACKSPACE2>,2.672,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
;<BACKSPACE1>; <BACKSPACE2>,2.447,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
@ <BACKSPACE3>,1.071,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
'<BACKSPACE1>n be a difficult experince.,2.511,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
<BACKSPACE2>,2.384,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
